"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Wei-Yin Chen","Orioles","4","6","0","18","18","116.1","7.19","1.93","1.32",".265","82.4 %","40.1 %","12.2 %","2.86","4.09","3.85","1.4","13071"
"Drew Hutchison","Blue Jays","9","2","0","20","20","108.0","8.17","2.83","1.08",".351","65.9 %","40.2 %","11.2 %","5.42","3.98","3.91","1.4","10732"
"Mike Leake","Reds","8","5","0","20","20","128.2","6.09","2.31","0.98",".269","73.7 %","52.0 %","14.1 %","3.78","3.94","3.60","1.4","10130"
"Chris Tillman","Orioles","7","7","0","19","19","105.0","6.69","3.60","0.86",".303","69.1 %","41.7 %","8.1 %","4.71","4.10","4.50","1.3","5279"
"Anthony DeSclafani","Reds","5","7","0","19","19","113.0","6.61","3.42","0.80",".292","69.9 %","43.8 %","8.2 %","3.98","3.94","4.30","1.3","13050"
"Brett Anderson","Dodgers","5","5","0","19","19","110.2","6.42","2.44","0.73",".322","77.7 %","66.8 %","13.6 %","3.33","3.56","3.34","1.3","8223"
"Andrew Cashner","Padres","4","10","0","19","19","116.2","7.87","2.70","1.00",".307","62.7 %","47.7 %","11.6 %","3.93","3.77","3.66","1.3","8782"
"Kyle Gibson","Twins","8","7","0","19","19","118.2","6.37","2.81","0.83",".284","77.8 %","54.6 %","13.3 %","3.19","3.89","3.66","1.3","10123"
"Alfredo Simon","Tigers","9","6","0","19","19","111.0","6.65","3.16","0.89",".317","68.4 %","42.1 %","8.9 %","4.46","3.96","4.21","1.2","2155"
"Wade Miley","Red Sox","8","8","0","20","20","114.1","6.53","3.46","0.79",".293","70.3 %","48.9 %","8.3 %","4.33","3.96","4.30","1.2","8779"
"Aaron Harang","Phillies","4","11","0","17","17","106.0","6.20","2.29","1.02",".280","68.8 %","35.7 %","8.1 %","4.08","4.06","4.55","1.2","1451"
"Jeff Locke","Pirates","5","6","0","19","19","108.1","6.90","3.41","0.58",".315","68.2 %","51.5 %","8.6 %","4.15","3.64","3.85","1.2","2929"
"Jimmy Nelson","Brewers","8","9","0","20","20","122.1","7.50","3.24","0.96",".291","71.2 %","49.9 %","12.1 %","3.97","4.08","3.92","1.1","10547"
"Trevor Bauer","Indians","8","7","0","19","19","115.1","9.05","3.67","1.33",".267","74.7 %","38.7 %","12.3 %","4.29","4.24","4.00","1.0","12703"
"Anibal Sanchez","Tigers","10","7","0","20","20","131.1","7.88","2.81","1.44",".269","70.1 %","39.7 %","14.2 %","4.59","4.35","3.84","1.0","3284"
"Jeremy Hellickson","Diamondbacks","6","6","0","18","18","101.2","7.61","2.39","1.24",".303","69.6 %","42.7 %","12.0 %","4.87","3.99","3.80","1.0","4371"
"John Danks","White Sox","5","8","0","18","18","104.1","6.30","2.50","1.21",".313","66.7 %","35.1 %","9.7 %","4.66","4.30","4.49","1.0","6329"
"James Shields","Padres","8","3","0","21","21","126.2","10.23","3.34","1.42",".314","79.5 %","45.2 %","17.9 %","3.77","4.12","3.30","0.9","7059"
"Chase Anderson","Diamondbacks","4","4","0","18","18","105.0","5.74","2.23","1.03",".294","72.5 %","43.7 %","10.9 %","4.37","4.22","4.19","0.8","6895"
"Taijuan Walker","Mariners","7","7","0","19","19","106.2","8.77","2.28","1.52",".308","67.6 %","37.5 %","14.0 %","5.06","4.26","3.76","0.8","11836"
"Mike Pelfrey","Twins","5","7","0","18","18","105.0","4.29","2.83","0.60",".323","73.6 %","54.4 %","8.0 %","3.94","4.15","4.45","0.8","5203"
"Phil Hughes","Twins","9","6","0","20","20","130.2","5.17","0.83","1.58",".291","80.8 %","34.3 %","12.7 %","3.93","4.50","4.15","0.8","7450"
"Julio Teheran","Braves","6","5","0","20","20","120.1","7.63","3.37","1.20",".307","68.6 %","39.9 %","13.6 %","4.49","4.37","4.01","0.7","6797"
"CC Sabathia","Yankees","4","8","0","19","19","112.0","7.55","1.93","1.69",".328","69.9 %","45.0 %","17.8 %","5.38","4.55","3.58","0.7","404"
"Jon Niese","Mets","5","9","0","19","19","115.1","5.77","2.73","1.01",".294","72.2 %","55.0 %","13.8 %","3.75","4.31","3.98","0.5","4424"
"Dan Haren","Marlins","7","6","0","20","20","123.0","6.15","1.68","1.46",".251","81.6 %","31.5 %","10.9 %","3.51","4.54","4.51","0.5","1757"
"Rick Porcello","Red Sox","5","10","0","19","19","112.2","7.19","2.08","1.44",".321","66.3 %","43.2 %","14.6 %","5.51","4.42","3.87","0.5","2717"
"Rubby de la Rosa","Diamondbacks","8","5","0","20","20","125.1","7.61","2.59","1.58",".285","74.1 %","51.6 %","20.2 %","4.52","4.56","3.49","0.4","3862"
"R.A. Dickey","Blue Jays","4","10","0","20","20","129.0","5.58","3.21","1.19",".263","71.6 %","43.9 %","11.7 %","4.53","4.82","4.67","0.4","1245"
"Nick Martinez","Rangers","5","5","0","17","17","101.0","5.26","3.21","0.98",".291","73.8 %","43.9 %","9.7 %","3.92","4.77","4.91","0.4","12730"
"Miguel Gonzalez","Orioles","9","6","0","18","18","106.0","6.79","2.72","1.53",".264","79.4 %","39.3 %","15.8 %","3.99","4.84","4.13","0.3","7024"
"Tom Koehler","Marlins","8","6","0","18","18","108.0","6.17","3.25","1.08",".250","75.1 %","47.1 %","11.2 %","3.25","4.42","4.36","0.3","6570"
"Jeremy Guthrie","Royals","7","6","0","19","19","107.2","4.68","2.59","1.17",".324","70.0 %","35.4 %","9.9 %","5.35","4.72","4.85","0.2","2072"
"Matt Garza","Brewers","4","10","0","17","17","100.0","6.39","2.97","1.53",".326","66.1 %","45.2 %","15.7 %","5.49","4.87","4.17","0.2","3340"
"Kyle Lohse","Brewers","5","11","0","20","20","113.0","6.61","2.07","1.83",".320","65.3 %","37.3 %","16.1 %","6.29","5.01","4.13","0.0","739"
"Kyle Kendrick","Rockies","3","11","0","19","19","107.1","4.70","2.60","2.01",".297","69.2 %","38.8 %","16.9 %","6.12","5.99","4.93","-0.8","6230"
